station id,start station id,end station id,Total Count
3186,2256,3033,5289
3195,1209,1159,2368
3203,1020,911,1931
3202,856,848,1704
3639,794,844,1638
3792,725,935,1660
3276,685,626,1311
3269,627,472,1099
3199,538,554,1092
3187,514,570,1084
3278,487,386,873
3185,484,503,987
3211,478,482,960
3270,474,303,777
3194,473,359,832
3272,463,441,904
3209,446,386,832
3275,442,458,900
3267,436,360,796
3638,410,445,855
3273,399,414,813
3213,396,330,726
3279,389,322,711
3192,311,327,638
3184,309,334,643
3640,305,269,574
3681,295,296,591
3205,288,298,586
3280,262,259,521
3214,255,262,517
3207,219,133,352
3678,219,181,400
3210,218,200,418
3679,215,201,416
3483,202,198,400
3225,187,154,341
3481,169,192,361
3268,135,135,270
3677,128,121,249
3212,123,78,201
3193,121,151,272
3791,103,145,248
3206,97,81,178
3220,96,66,162
3196,84,72,156
3198,81,81,162
3277,72,93,165
3281,70,68,138
3694,64,53,117
3201,54,73,127
3191,45,62,107
2008,,4,4
